skill,category,type,demand,scarcity,future_proof
Conflict resolution,Banking,soft,89.5,56.0,70.8
Time management,Architecture,soft,89.5,52.7,82.9
Supply chain management,Banking,hard,89.5,49.9,78.5
Python,Banking,hard,89.4,81.9,79.6
Communication,Architecture,soft,89.4,80.9,68.7
Machine learning,Healthcare,hard,89.4,77.8,78.4
Supply chain management,Energy,hard,89.4,59.6,68.9
HIPAA compliance,Operations,hard,89.3,92.1,61.7
SQL,Sales,hard,89.3,73.7,76.6
React,Banking,hard,89.3,72.1,57.8
TypeScript,Energy,hard,89.3,58.3,70.9
Customer empathy,Retail,soft,89.2,75.2,57.0
Wireframing,Design,hard,89.2,54.1,67.8
Decision making,Data and Analytics,soft,89.2,53.1,84.7
Data visualization,Banking,hard,89.1,81.7,72.6
Machine learning,Design,hard,89.1,59.7,80.9
Node.js,Architecture,hard,89.0,83.4,69.0
Problem solving,Sales,soft,88.9,76.8,66.2
Financial modeling,Healthcare,hard,88.9,75.9,68.8
Customer empathy,Insurance,soft,88.9,67.5,78.1
pandas,Retail,hard,88.9,62.9,79.7
Clinical documentation,Operations,hard,88.9,53.6,75.9
Terraform,Energy,hard,88.8,52.3,68.8
Adobe Illustrator,Healthcare,hard,88.7,88.3,76.6
Medical coding,Architecture,hard,88.4,71.5,66.0
Wireframing,Design,hard,88.3,82.7,66.5
Collaboration,Healthcare,soft,88.3,68.2,75.4
Power BI,Technology,hard,88.3,53.0,89.4
HIPAA compliance,E-commerce,hard,88.2,63.4,88.9
Project management,Manufacturing,hard,88.1,71.3,75.0
A/B testing,Banking,hard,88.0,71.8,65.2
Machine learning,E-commerce,hard,88.0,63.7,58.6
GraphQL,Retail,hard,87.9,86.1,73.0
Adobe Illustrator,Energy,hard,87.9,82.2,94.4
Customer empathy,Design,soft,87.9,75.5,78.1
Critical thinking,Design,soft,87.9,48.0,85.5
Clinical documentation,Banking,hard,87.8,80.4,80.2
TypeScript,Construction,hard,87.8,74.5,59.7
Electronic health records,Retail,hard,87.8,68.7,66.1
Emotional intelligence,Insurance,soft,87.8,58.4,72.2
AutoCAD,Architecture,hard,87.8,46.5,77.4
Emotional intelligence,Public Sector,soft,87.7,89.0,73.8
Leadership,Healthcare,soft,87.7,79.4,69.8
Data visualization,Banking,hard,87.7,65.2,85.8
Emotional intelligence,Healthcare,soft,87.7,64.2,82.7
Quality assurance,Public Sector,hard,87.6,79.1,80.3
Clinical documentation,Data and Analytics,hard,87.5,73.7,72.3
TypeScript,Design,hard,87.5,64.1,68.0
Electronic health records,Healthcare,hard,87.4,87.1,70.1
Motion design,Design,hard,87.4,77.9,68.8
Power BI,Sales,hard,87.4,75.9,84.0
Motion design,Insurance,hard,87.4,61.1,66.0
Linux,Manufacturing,hard,87.4,55.1,77.9
Power BI,Transportation,hard,87.3,60.6,72.8
Statistical analysis,E-commerce,hard,87.2,64.7,81.9
Kubernetes,Design,hard,87.2,61.9,61.7
Supply chain management,Public Sector,hard,87.2,59.6,75.5
Node.js,Fashion,hard,87.1,92.7,63.2
A/B testing,Retail,hard,87.1,90.4,67.1
Quality assurance,Insurance,hard,87.1,67.3,63.2
Adaptability,E-commerce,soft,87.0,69.3,76.8
Problem solving,Insurance,soft,87.0,68.8,76.7
React,Construction,hard,87.0,62.3,78.0
pandas,Civil Engineering,hard,87.0,49.8,77.4
Wireframing,Construction,hard,86.9,67.5,59.5
Customer empathy,Sales,soft,86.8,82.9,72.6
Node.js,E-commerce,hard,86.8,71.6,75.8
Docker,Architecture,hard,86.8,58.1,77.6
Figma,Manufacturing,hard,86.7,48.1,76.4
Emotional intelligence,Design,soft,86.7,48.0,76.5
GraphQL,Banking,hard,86.6,79.5,65.7
Git,Sales,hard,86.6,78.1,73.3
Statistical analysis,Technology,hard,86.6,73.1,77.1
Project management,Public Sector,hard,86.5,89.9,71.9
Figma,Construction,hard,86.5,73.9,52.9
Decision making,Banking,soft,86.5,64.2,80.2
Spark,Retail,hard,86.4,80.2,72.7
UX research,Operations,hard,86.4,73.4,73.8
Kubernetes,Civil Engineering,hard,86.4,60.5,57.5
CI/CD,Architecture,hard,86.4,51.5,74.7
Spark,Healthcare,hard,86.3,83.1,87.5
AutoCAD,Retail,hard,86.2,84.8,64.6
Financial modeling,Banking,hard,86.2,83.0,69.8
Emotional intelligence,Civil Engineering,soft,86.2,74.8,65.9
Emotional intelligence,Architecture,soft,86.2,68.6,87.1
Collaboration,Design,soft,86.2,66.1,72.9
CI/CD,Design,hard,86.2,56.4,78.6
Project management,Manufacturing,hard,86.2,55.3,56.5
Negotiation,Manufacturing,soft,86.1,68.9,80.1
Financial modeling,Design,hard,86.0,83.7,85.2
Git,Construction,hard,86.0,81.4,76.4
Creativity,Insurance,soft,86.0,63.2,73.2
Critical thinking,Data and Analytics,soft,86.0,57.5,62.6
Collaboration,Fashion,soft,85.9,84.9,65.1
Linux,Retail,hard,85.9,83.7,77.1
Negotiation,Operations,soft,85.9,57.6,75.7
TypeScript,Energy,hard,85.9,55.6,81.2
Statistical analysis,Design,hard,85.8,93.7,62.5
Deep learning,Data and Analytics,hard,85.8,81.3,69.4
Node.js,Manufacturing,hard,85.8,75.2,71.3
Quality assurance,Fashion,hard,85.8,69.5,78.4
Adobe Illustrator,Technology,hard,85.8,65.2,74.0
GraphQL,Design,hard,85.8,65.2,55.8
Medical coding,Insurance,hard,85.8,56.7,70.6
GraphQL,Operations,hard,85.7,61.7,87.4
Adobe Illustrator,Sales,hard,85.6,85.8,72.0
Negotiation,Design,soft,85.6,84.3,71.4
Emotional intelligence,Construction,soft,85.6,79.6,76.7
Collaboration,E-commerce,soft,85.6,77.3,79.3
Critical thinking,Manufacturing,soft,85.6,60.0,71.8
Power BI,Manufacturing,hard,85.6,57.3,68.6
CI/CD,Construction,hard,85.5,79.2,80.3
Financial modeling,Technology,hard,85.5,76.3,84.2
Quality assurance,Sales,hard,85.5,67.0,60.2
HIPAA compliance,Construction,hard,85.5,58.2,88.1
pandas,Energy,hard,85.5,56.4,79.8
Python,Design,hard,85.5,54.6,90.6
Customer empathy,Design,soft,85.5,52.6,72.4
Docker,Retail,hard,85.4,82.0,77.0
Collaboration,Data and Analytics,soft,85.4,77.1,74.3
Git,Construction,hard,85.4,75.8,69.5
REST API design,Healthcare,hard,85.4,73.0,83.0
AWS,Manufacturing,hard,85.4,70.4,59.9
Creativity,Fashion,soft,85.4,66.6,87.5
Electronic health records,Banking,hard,85.4,63.4,59.5
Critical thinking,Construction,soft,85.4,60.4,71.4
React,Retail,hard,85.4,58.7,91.6
Negotiation,Fashion,soft,85.3,87.1,59.6
UX research,Construction,hard,85.3,72.3,75.1
Patient triage,Fashion,hard,85.3,71.6,76.3
Terraform,Technology,hard,85.3,62.7,74.8
Adobe Illustrator,E-commerce,hard,85.3,59.1,53.0
Agile / Scrum,Civil Engineering,hard,85.3,50.6,71.8
HIPAA compliance,Manufacturing,hard,85.2,85.1,60.5
AutoCAD,Energy,hard,85.2,80.7,74.2
Agile / Scrum,Architecture,hard,85.2,57.1,58.0
AutoCAD,Manufacturing,hard,85.2,49.2,54.8
Figma,Sales,hard,85.1,86.6,68.1
Patient triage,Fashion,hard,85.1,79.7,82.4
Kubernetes,Civil Engineering,hard,85.1,79.3,70.2
Git,Civil Engineering,hard,85.1,77.2,78.4
Supply chain management,Energy,hard,85.1,64.1,75.3
Kubernetes,Retail,hard,85.1,57.6,80.5
Kubernetes,Insurance,hard,85.1,56.4,67.6
Data visualization,Healthcare,hard,85.0,84.6,69.6
Patient triage,Energy,hard,85.0,73.7,86.5
AutoCAD,Transportation,hard,85.0,73.2,81.1
Financial modeling,Transportation,hard,85.0,70.0,72.1
HIPAA compliance,Transportation,hard,85.0,69.4,56.1
REST API design,Energy,hard,85.0,67.1,72.8
REST API design,Manufacturing,hard,85.0,66.4,79.1
Time management,Fashion,soft,85.0,61.6,68.0
Agile / Scrum,Civil Engineering,hard,85.0,61.6,71.5
Motion design,Civil Engineering,hard,85.0,59.0,75.1
Figma,Data and Analytics,hard,85.0,56.9,72.3
Statistical analysis,Public Sector,hard,85.0,54.8,61.8
pandas,Technology,hard,85.0,54.0,83.5
TypeScript,Technology,hard,85.0,51.0,65.3
Terraform,Manufacturing,hard,84.9,79.1,71.2
Adobe Illustrator,Manufacturing,hard,84.9,75.8,68.8
Git,Design,hard,84.9,59.7,67.9
Tableau,Healthcare,hard,84.8,90.1,67.9
Decision making,Retail,soft,84.8,77.6,63.7
Time management,Retail,soft,84.8,72.0,65.2
Patient triage,Energy,hard,84.8,71.9,71.9
React,Energy,hard,84.8,67.0,83.9
JavaScript,Public Sector,hard,84.8,58.9,70.2
Linux,Design,hard,84.8,54.5,66.7
Tableau,Public Sector,hard,84.7,79.1,76.2
UX research,E-commerce,hard,84.7,73.9,68.1
Statistical analysis,Retail,hard,84.7,69.1,71.6
Communication,Civil Engineering,soft,84.7,68.3,73.1
Electronic health records,Architecture,hard,84.7,68.3,66.9
Quality assurance,Architecture,hard,84.7,66.6,82.9
Time management,E-commerce,soft,84.7,62.1,72.2
Collaboration,Architecture,soft,84.7,61.5,68.3
HIPAA compliance,Transportation,hard,84.7,56.5,81.4
Supply chain management,Energy,hard,84.6,88.3,76.2
Leadership,Public Sector,soft,84.6,74.1,72.9
A/B testing,Sales,hard,84.6,70.7,67.4
GraphQL,Public Sector,hard,84.6,66.1,74.6
Patient triage,Design,hard,84.6,52.1,73.3
React,Sales,hard,84.5,78.6,63.0
HIPAA compliance,Transportation,hard,84.5,60.8,89.4
Data visualization,Operations,hard,84.5,49.7,84.4
Problem solving,Manufacturing,soft,84.4,80.8,71.3
AWS,Design,hard,84.4,64.6,83.3
Collaboration,Design,soft,84.4,60.2,71.2
SQL,E-commerce,hard,84.3,64.0,58.8
Deep learning,Construction,hard,84.3,53.0,57.7
Docker,Fashion,hard,84.3,48.0,54.3
Electronic health records,Design,hard,84.3,47.1,74.1
Leadership,Healthcare,soft,84.2,80.0,82.2
AWS,Healthcare,hard,84.2,77.2,80.6
Spark,Design,hard,84.2,74.3,67.1
Deep learning,E-commerce,hard,84.2,56.6,83.1
Terraform,Civil Engineering,hard,84.2,49.3,69.3
AWS,Design,hard,84.1,82.7,73.5
Quality assurance,Healthcare,hard,84.1,66.7,75.6
Quality assurance,Architecture,hard,84.1,59.8,69.7
Project management,Transportation,hard,84.0,90.5,88.4
Docker,Energy,hard,84.0,80.0,74.6
Git,Fashion,hard,84.0,77.8,70.1
Leadership,Architecture,soft,84.0,73.9,74.9
HIPAA compliance,Energy,hard,84.0,69.8,84.6
Statistical analysis,Design,hard,84.0,68.3,71.0
Problem solving,Construction,soft,84.0,66.5,67.5
Machine learning,Energy,hard,84.0,63.9,67.6
UX research,Insurance,hard,83.9,89.0,66.3
Agile / Scrum,E-commerce,hard,83.9,82.7,63.9
Emotional intelligence,Manufacturing,soft,83.9,64.7,87.9
Leadership,Design,soft,83.9,57.1,63.6
SQL,Banking,hard,83.8,82.6,85.2
Clinical documentation,E-commerce,hard,83.8,79.0,76.0
Project management,Data and Analytics,hard,83.8,69.8,62.7
Communication,Fashion,soft,83.8,66.9,64.3
pandas,Insurance,hard,83.8,59.2,88.5
Adaptability,Transportation,soft,83.8,53.9,72.2
Spark,Data and Analytics,hard,83.7,81.3,84.1
Medical coding,Banking,hard,83.7,79.7,80.8
Critical thinking,Banking,soft,83.7,77.2,79.9
Creativity,Fashion,soft,83.7,62.2,63.2
Tableau,Energy,hard,83.7,60.1,81.8
Negotiation,Fashion,soft,83.7,56.3,81.4
Collaboration,Public Sector,soft,83.6,75.9,73.8
SQL,Operations,hard,83.6,62.1,88.8
Supply chain management,Healthcare,hard,83.6,59.0,93.0
Conflict resolution,Banking,soft,83.6,58.8,71.8
pandas,Construction,hard,83.6,54.6,62.1
Electronic health records,Manufacturing,hard,83.6,50.2,67.7
Power BI,Banking,hard,83.6,49.0,79.3
Power BI,E-commerce,hard,83.5,75.2,56.7
Motion design,Banking,hard,83.5,68.1,67.4
GraphQL,E-commerce,hard,83.5,67.2,60.5
Financial modeling,Public Sector,hard,83.5,63.9,77.3
Terraform,Fashion,hard,83.5,61.0,90.2
HIPAA compliance,Data and Analytics,hard,83.5,48.4,74.7
JavaScript,Construction,hard,83.4,88.1,66.2
Clinical documentation,Sales,hard,83.4,74.5,55.1
HIPAA compliance,Healthcare,hard,83.4,68.4,74.7
Agile / Scrum,Sales,hard,83.4,65.7,64.1
Negotiation,Insurance,soft,83.4,65.7,79.6
AutoCAD,Transportation,hard,83.4,65.6,69.6
Leadership,Public Sector,soft,83.4,49.4,64.2
AWS,Data and Analytics,hard,83.3,70.0,74.7
UX research,Banking,hard,83.3,67.6,69.7
CI/CD,E-commerce,hard,83.3,60.6,69.6
Figma,Fashion,hard,83.2,84.8,86.4
Leadership,Insurance,soft,83.2,82.5,64.6
Wireframing,Healthcare,hard,83.2,79.6,83.1
Supply chain management,Banking,hard,83.2,64.4,75.4
Figma,Public Sector,hard,83.1,81.3,69.8
Spark,E-commerce,hard,83.1,68.5,90.4
Time management,Sales,soft,83.1,65.9,83.0
UX research,Manufacturing,hard,83.1,65.5,66.9
JavaScript,Civil Engineering,hard,83.1,61.4,80.5
Problem solving,Technology,soft,83.1,53.2,80.9
Problem solving,Technology,soft,83.1,48.2,61.7
Data visualization,Banking,hard,83.0,76.6,69.9
Medical coding,Construction,hard,83.0,71.3,78.6
Communication,Sales,soft,83.0,57.2,78.8
Terraform,Construction,hard,82.9,81.5,74.1
AutoCAD,Transportation,hard,82.9,81.3,91.1
Kubernetes,Operations,hard,82.9,71.5,71.3
Clinical documentation,E-commerce,hard,82.9,58.6,63.2
Agile / Scrum,Healthcare,hard,82.8,88.9,90.7
A/B testing,Fashion,hard,82.8,83.1,58.1
Git,Insurance,hard,82.8,81.0,61.6
Supply chain management,Insurance,hard,82.8,69.6,64.7
Statistical analysis,Transportation,hard,82.8,69.5,91.5
SQL,Public Sector,hard,82.8,67.8,54.5
Agile / Scrum,Banking,hard,82.8,55.4,72.4
Figma,Operations,hard,82.7,87.0,78.6
GraphQL,Energy,hard,82.7,81.5,68.5
Tableau,Banking,hard,82.7,76.1,85.1
Quality assurance,Construction,hard,82.7,65.7,66.6
Agile / Scrum,Technology,hard,82.7,52.8,67.6
Adobe Illustrator,Insurance,hard,82.7,52.4,79.0
TypeScript,Manufacturing,hard,82.7,49.4,78.4
Wireframing,Technology,hard,82.6,80.1,73.8
Quality assurance,Technology,hard,82.6,77.6,74.4
Project management,Fashion,hard,82.6,75.0,80.6
Customer empathy,Design,soft,82.6,74.0,61.8
Negotiation,Retail,soft,82.6,70.4,78.0
Conflict resolution,Public Sector,soft,82.6,60.4,75.9
Negotiation,Technology,soft,82.6,57.9,75.2
Power BI,Sales,hard,82.6,50.1,77.6
Patient triage,E-commerce,hard,82.5,94.1,69.2
Time management,Technology,soft,82.5,91.6,65.9
Critical thinking,Manufacturing,soft,82.5,80.0,76.7
AWS,Manufacturing,hard,82.5,74.9,67.8
Creativity,Architecture,soft,82.5,66.8,70.1
Node.js,Banking,hard,82.5,52.1,68.8
Medical coding,Healthcare,hard,82.4,80.6,79.0
Creativity,Operations,soft,82.4,77.7,84.1
Machine learning,Transportation,hard,82.4,64.0,62.8
Deep learning,Sales,hard,82.4,63.4,81.4
AWS,Fashion,hard,82.4,58.3,71.6
Critical thinking,Retail,soft,82.3,79.0,77.3
Data visualization,Public Sector,hard,82.3,77.8,81.3
Electronic health records,Energy,hard,82.3,74.7,58.9
Git,Banking,hard,82.3,68.9,66.8
GraphQL,Public Sector,hard,82.3,66.9,67.5
Figma,Sales,hard,82.2,82.6,80.8
Time management,Data and Analytics,soft,82.2,74.9,68.9
TypeScript,Fashion,hard,82.2,67.7,83.5
Project management,Design,hard,82.2,66.0,72.3
Python,Construction,hard,82.2,65.8,74.3
Node.js,Retail,hard,82.2,65.0,79.0
Git,Manufacturing,hard,82.2,61.2,73.0
Problem solving,Design,soft,82.2,53.6,71.6
Supply chain management,Technology,hard,82.2,53.2,81.5
AutoCAD,Energy,hard,82.2,51.8,81.5
Critical thinking,Architecture,soft,82.1,84.2,79.8
Supply chain management,Insurance,hard,82.1,77.3,74.4
Time management,Construction,soft,82.1,75.6,77.3
Conflict resolution,Retail,soft,82.1,73.6,76.6
Power BI,Public Sector,hard,82.1,61.8,64.1
Communication,Public Sector,soft,82.0,91.1,83.7
Figma,Public Sector,hard,82.0,78.8,77.9
Figma,Design,hard,82.0,76.6,85.5
A/B testing,Architecture,hard,82.0,73.0,57.0
Quality assurance,Design,hard,82.0,72.7,64.4
Emotional intelligence,Energy,soft,82.0,62.8,91.2
Critical thinking,Technology,soft,82.0,60.1,86.7
Decision making,Manufacturing,soft,82.0,59.8,71.8
Supply chain management,Architecture,hard,82.0,56.0,65.5
Tableau,Energy,hard,81.9,86.2,84.4
Wireframing,Manufacturing,hard,81.9,58.1,80.3
HIPAA compliance,Architecture,hard,81.9,57.5,86.7
UX research,Transportation,hard,81.8,88.5,74.3
Time management,Manufacturing,soft,81.8,80.4,82.3
JavaScript,Retail,hard,81.8,76.0,82.1
Negotiation,Banking,soft,81.8,74.6,71.6
Agile / Scrum,Construction,hard,81.8,64.1,56.7
Problem solving,Operations,soft,81.8,58.5,71.8
Collaboration,Design,soft,81.7,84.1,74.0
Linux,Public Sector,hard,81.7,83.0,63.9
Decision making,Design,soft,81.7,82.8,59.9
TypeScript,Operations,hard,81.7,79.7,68.7
Git,Architecture,hard,81.7,76.0,75.4
pandas,Banking,hard,81.7,73.1,72.3
Project management,Energy,hard,81.7,71.3,72.3
Motion design,Design,hard,81.7,68.4,83.7
UX research,Technology,hard,81.7,64.6,61.1
Deep learning,Healthcare,hard,81.7,60.4,85.3
Medical coding,Public Sector,hard,81.7,52.8,60.1
Adaptability,Insurance,soft,81.7,50.7,72.2
Agile / Scrum,Design,hard,81.7,50.3,61.7
Collaboration,Operations,soft,81.6,77.0,64.8
Collaboration,Fashion,soft,81.6,73.5,83.1
Communication,Technology,soft,81.6,66.9,68.0
Machine learning,E-commerce,hard,81.6,66.7,76.4
Docker,Manufacturing,hard,81.6,61.5,78.4
Conflict resolution,Insurance,soft,81.5,89.4,74.1
AutoCAD,Data and Analytics,hard,81.5,79.4,71.1
A/B testing,Technology,hard,81.5,79.4,83.8
TypeScript,Architecture,hard,81.5,77.4,76.0
REST API design,E-commerce,hard,81.5,75.7,84.6
Negotiation,Sales,soft,81.5,66.4,79.0
Time management,Construction,soft,81.5,65.4,66.3
Financial modeling,Architecture,hard,81.5,62.7,74.5
Linux,Sales,hard,81.5,59.8,73.3
Linux,Civil Engineering,hard,81.5,57.5,60.7
Machine learning,Energy,hard,81.4,77.2,81.7
JavaScript,Design,hard,81.4,72.9,67.7
Wireframing,Transportation,hard,81.4,69.9,69.0
Medical coding,E-commerce,hard,81.4,55.7,68.2
Conflict resolution,Manufacturing,soft,81.3,82.2,76.7
React,Data and Analytics,hard,81.3,74.7,78.6
Terraform,Manufacturing,hard,81.3,70.7,74.9
TypeScript,Insurance,hard,81.3,61.2,76.7
Communication,Healthcare,soft,81.3,59.5,56.7
Python,Sales,hard,81.3,56.2,68.6
REST API design,Architecture,hard,81.2,90.1,64.0
Creativity,Public Sector,soft,81.2,69.5,70.6
Machine learning,E-commerce,hard,81.2,64.6,81.6
Tableau,Design,hard,81.2,59.2,82.6
Customer empathy,Technology,soft,81.2,59.0,70.9
CI/CD,Insurance,hard,81.2,49.8,67.0
Tableau,Sales,hard,81.1,88.2,93.2
Clinical documentation,Transportation,hard,81.1,71.7,63.3
TypeScript,E-commerce,hard,81.1,71.4,58.6
Clinical documentation,Transportation,hard,81.1,70.6,70.1
JavaScript,Design,hard,81.1,70.5,71.0
Machine learning,Civil Engineering,hard,81.1,66.5,68.2
HIPAA compliance,E-commerce,hard,81.1,57.9,70.6
REST API design,Banking,hard,81.1,48.0,83.7
Quality assurance,Healthcare,hard,81.0,91.2,73.0
React,Manufacturing,hard,81.0,69.1,83.1
Leadership,Fashion,soft,81.0,67.7,62.4
Patient triage,Technology,hard,81.0,61.2,75.4
Power BI,Construction,hard,81.0,61.2,65.5
Time management,Design,soft,81.0,57.8,89.8
Power BI,Banking,hard,81.0,57.1,88.3
Electronic health records,Transportation,hard,80.9,86.2,74.5
Time management,E-commerce,soft,80.9,78.2,66.5
Creativity,Data and Analytics,soft,80.9,77.1,80.5
AWS,Fashion,hard,80.9,76.8,75.1
pandas,Civil Engineering,hard,80.9,74.7,69.6
Node.js,Design,hard,80.9,71.1,65.7
Communication,Fashion,soft,80.9,68.5,55.1
Decision making,Insurance,soft,80.9,64.3,63.7
Git,Retail,hard,80.9,57.1,76.0
Adobe Illustrator,Construction,hard,80.9,56.7,66.5
Linux,Construction,hard,80.8,84.7,70.1
Adaptability,Healthcare,soft,80.8,82.8,70.0
Docker,Civil Engineering,hard,80.8,82.7,79.4
React,Public Sector,hard,80.8,78.2,90.9
AutoCAD,Fashion,hard,80.8,76.5,81.2
Decision making,E-commerce,soft,80.8,73.3,84.0
React,E-commerce,hard,80.8,73.1,76.9
Power BI,Data and Analytics,hard,80.8,72.9,67.7
Creativity,Construction,soft,80.8,71.2,77.7
pandas,Data and Analytics,hard,80.8,70.7,70.8
Machine learning,Architecture,hard,80.8,68.4,61.2
Communication,Insurance,soft,80.8,67.4,75.0
Decision making,Transportation,soft,80.8,65.1,71.7
Negotiation,Manufacturing,soft,80.8,64.3,55.6
Adobe Illustrator,Operations,hard,80.8,63.4,76.3
Agile / Scrum,Transportation,hard,80.8,62.4,87.2
Quality assurance,Energy,hard,80.8,60.5,84.1
Git,Sales,hard,80.8,60.2,85.8
Linux,Operations,hard,80.7,87.9,63.8
Node.js,Insurance,hard,80.7,85.0,82.1
Collaboration,Banking,soft,80.5,88.3,63.8
Negotiation,Transportation,soft,80.5,81.7,57.6
Adaptability,Sales,soft,80.5,64.7,81.4
Negotiation,Construction,soft,80.5,59.4,73.8
Creativity,Data and Analytics,soft,80.4,78.2,75.4
Decision making,Sales,soft,80.4,69.8,74.5
Decision making,Technology,soft,80.4,65.8,64.2
Communication,Healthcare,soft,80.4,54.1,64.7
Creativity,Operations,soft,80.2,60.0,92.9
Decision making,Energy,soft,80.0,83.2,75.1
Problem solving,Banking,soft,80.0,76.4,80.2
Critical thinking,Design,soft,80.0,55.3,66.2
Decision making,Civil Engineering,soft,80.0,50.5,78.3
Decision making,Architecture,soft,79.9,70.3,74.6
Problem solving,Data and Analytics,soft,79.8,68.5,77.1
Problem solving,Retail,soft,79.7,88.3,78.8
Leadership,Technology,soft,79.7,67.5,71.5
Customer empathy,Construction,soft,79.7,64.3,53.6
Negotiation,Transportation,soft,79.6,83.2,77.5
Conflict resolution,Operations,soft,79.6,58.3,74.4
Leadership,Insurance,soft,79.6,56.8,81.6
Creativity,Architecture,soft,79.5,80.9,72.5
Communication,Public Sector,soft,79.5,65.3,74.1
Critical thinking,Banking,soft,79.4,85.1,82.2
Communication,Energy,soft,79.4,81.2,60.3
Time management,Fashion,soft,79.4,80.4,80.5
Leadership,Retail,soft,79.4,60.7,59.2
Collaboration,Insurance,soft,79.3,70.7,93.6
Collaboration,Construction,soft,79.3,68.7,82.4
Time management,Design,soft,79.3,56.8,65.5
